repository	status	scanned	unsupported	resolved	declined	missing
asciidoctor	pass	148	1	251	28	5
astro-docs	pass	2618	2	3471	10327	0
awesome-go	pass	7	2	270	0	0
awesome	pass	7	0	38	0	0
awesome-python	pass	15	0	85	0	1
babel	pass	186	0	143	42	349
bat	pass	17	0	92	0	21
biome	pass	115	3	240	102	100
click	pass	53	0	45	957	0
cncf-glossary	pass	963	0	2239	419	4
comprehensive-rust	pass	584	0	943	0	10
containerd.io	pass	9	0	7	3	1
content	pass	14649	0	1951	54863	2659
django	pass	686	0	3835	20	38
docsify	pass	29	0	105	5	10
docusaurus	pass	1545	0	5914	852	33
eleventy-site	pass	231	0	185	922	18
etcd-website	pass	730	0	658	20	0
fastapi	pass	1665	0	1808	1633	40
flask	pass	85	0	232	0	0
grafana	pass	1164	0	2200	2774	564
grpc.io	pass	188	0	81	193	0
helix	pass	51	0	214	2	10
httpx	pass	29	0	41	0	7
hugoDocs	pass	1006	0	3209	591	0
ionic-docs	pass	11955	0	2699	774	29
jekyll	pass	222	0	76	167	5
jest	pass	275	0	1102	194	45
k8s-community	pass	963	4	2094	957	254
mdbook	pass	50	0	117	0	0
minimal-mistakes	pass	125	0	91	21	11
mkdocs	pass	21	0	332	0	1
mkdocs-material	pass	103	0	1039	5	4
myst-parser	pass	32	0	196	29	3
nextra	pass	243	2	20	224	5
numpy	pass	627	0	1114	11	22
ohmyzsh	pass	387	7	155	0	7
opentelemetry.io	pass	2019	5	3095	7274	16
prettier	pass	147	0	180	18	1
pydantic	pass	99	1	502	0	1
pydantic-settings	pass	2	0	11	0	10
react-native-website	pass	2719	0	8319	2370	306
redux	pass	113	0	636	52	8
ripgrep	pass	24	0	69	0	0
rust-book	pass	478	0	1538	0	32
rust-by-example	pass	204	0	407	0	0
scrapy	pass	90	0	1282	35	20
sphinx	pass	170	0	524	17	2
spring-boot	pass	229	0	2897	0	1
starlight	pass	380	1	656	1491	1
superset	pass	1211	5	839	877	62
swr	pass	23	0	0	0	0
tailwindcss.com	pass	264	0	145	183	5
terraform	pass	47	0	70	0	7
TypeScript-Website	pass	363	0	228	844	110
unocss	pass	131	1	64	146	1
vite	pass	84	0	183	282	2
vitest	pass	259	0	274	1533	2
vuejs-docs	pass	122	0	181	627	1
website	pass	8232	0	27063	7119	153
zola	pass	166	0	100	1	21
